Title,Price,URL,Shipping,Location,Condition,Listing Type
Shop on eBay,$20.00,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,,,Brand New,or Best Offer
Shop on eBay,$20.00,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,,,Brand New,or Best Offer
Canon RF 100-500mm f/4.5-7.1L IS USM Lens,"$2,324.95",https://www.ebay.com/itm/325909655136?epid=10039721902&itmmeta=01J06JVTDFJEV5X9S4KS8J2R38&hash=item4be1baae60:g:KioAAOSwOZllacDh&itmprp=enc%3AAQAJAAAA4LqHAm%2BAYRvUn53a24EsLH%2FegLAZaegpRMlEFJ8AKKgl6tnVBlt99MBim2KKVHvVnkXuPevXdn7qT7wxdRVEfvTSp2B40DSRCX27LneveDRa4UCKhpJ5DJqQtdGC%2B%2F4swZv%2BkGsQXQ%2BRjlKimIdaSijP%2B42pYAT%2BJFgHwhtAKVpQhGSF%2BeOyWzrkhnFEDurQNHCGpVADpiWYKQLNlHhnULU0u5lRwsScZmmfivii6YjTj3cutoaiXjOziECeKQK4hApj29E%2FIlY6YJ92RcyjRLzGSgkwL9KxU20e8LFY1dLA%7Ctkp%3ABFBM-qbv0oFk,,,Open Box,
HD ULTRA WIDE ANGLE LENS + MACRO FOR Canon RF 100-500mm f/4.5-7.1 L IS USM Lens,$136.39,https://www.ebay.com/itm/154919463346?itmmeta=01J06JVTDF5S9R0DKBCBHBBEFJ&hash=item2411eb69b2:g:~yMAAOSw52xiQHXM&itmprp=enc%3AAQAJAAAA4HzFDGd55hHIQsFrMUpk%2F9dcJGWVAU9bdZReYHrubIYxbbA%2BvswwTVPOpfJecDl1lGo0XEWte0dggOq1IJ24cZ%2FULIDDYAMMA23S64NmtXMa4DzfV2moKhxNiU%2B4uvd877aLFZlGwPAAVkEfBi3ORftD1yzXVGfhI0l0AzucYgMh2sOlvJTG%2FfGCbTL1S8xOBWByX3ptj99J37YPz1ZLAW07DvZpO0YouPs3Flglphw0wGuzwmbWwasBO1%2FVvjyx9ItEdWyBIWrOtHPeVdLrjqCvaxKZvmud66fd%2Fs9f421N%7Ctkp%3ABFBM-qbv0oFk,Free shipping,,Brand New,
Canon RF100-500L is U(N),"$2,324.95",https://www.ebay.com/itm/325887657448?epid=10039721902&itmmeta=01J06JVTDFHW8QMWM61BY9Q6CH&hash=item4be06b05e8:g:S84AAOSwznplVKke&itmprp=enc%3AAQAJAAAA4G6afi6ep9w3JMPlvM5Dq5qxHoPMnRBmDpeeHLZIsv%2FXZjOC7yO6dYByMVnoplRGc8XUrbi2%2BLsfOT2x3nWPZ%2Fw1ZMDBA3hKKRCDgMLccCd86PJgi0nD%2BzwRsPycumhZdtibo%2F1VKmelsrIM8U9robFtJLYxcJ5Ka2JqMGH7B4KN5T7EnNAcUjtFZfh4Xtke2PnH2GHNbs4oznIeI4L1PvvczT1dWAdBR6Uj5UYJYOPqhmb1mXoAPETyzlRWmlZ%2Fl%2Bb1KqQXs6f7SCGIAF7SgYKFciYPIzY8H5Ueg9c3WB3x%7Ctkp%3ABFBM-qbv0oFk,,,Brand New,
Canon RF 100-500mm f/4.5-7.1 L IS USM Lens + 3-Piece Filter Set + Hand Strap +,"$2,449.95",https://www.ebay.com/itm/204704470682?epid=10039721902&itmmeta=01J06JVTDF5EJZQY3Q5TCTXSRK&hash=item2fa956569a:g:GyYAAOSw1Xhl-29e&itmprp=enc%3AAQAJAAAA4FtkunlfOEwv%2FIuO%2B2kt%2BMFrC1jkFfFb3sYcfe9F%2FMK%2BjVyo4a1QFB2n4WFHuFlzcUf1JjABvez6lhTw9XjbKwAiFQ2j82635Sp3fb0vSytUxwUMDfbIgR0G8qajsUzXQ%2FRvlRdeU8pbFerPv5%2FnFMU0t1XDnUwdImCfL4LRw8HHPvOimCHIXTs4KoJorhUP5hVeHnmWuf%2FwZ7JoHmpjk8Y5RFRxO%2FF33A4JCL4hgLeReWpOzAFwoneKaUd6Bs1aGhtF%2FH7%2F5dg7cZr4e%2BxHJidAQn%2Bg3aJS2NGz8P7DK1Pp%7Ctkp%3ABFBM_Kbv0oFk,,,Brand New,
canon rf 100-500mm,"$2,025.86",https://www.ebay.com/itm/276500581354?itmmeta=01J06JVTDG3T0XTGE6M4Q8F382&hash=item4060b80bea:g:olkAAOSwOmxmZNz~&itmprp=enc%3AAQAJAAAAwB%2FWToWTG9htJGdSwg7a720WVKzSm9w61wpJlwO5kzhXut%2BdMEIuSOavEwKFPKYIv7Kjw4alFJwkOjoTikTd7ZUW9eLniT3TR9jlZHH8V1VRS%2Bs9E9ABJZmO5vLf5QirjNcuTCMM3Qg8HzZoCT07pYeRlLgfdebfUhbFO%2F9veHZv%2FePefuzqEeCh0S7CqGnJn2qcyeEI5FLbHtjKueW9INpXTeVhXrebZp6Y1M4LcsF6%2B50b3bydtfDiize83isWAQ%3D%3D%7Ctkp%3ABk9SR_ym79KBZA,+$12.01 shipping,,Pre-Owned,
Canon RF 100-500mm F/4.5-7.1 L IS USM #65,"$2,148.00",https://www.ebay.com/itm/355765405451?epid=10039721902&itmmeta=01J06JVTDG6Z5FBY9NP5DTTD9F&hash=item52d545470b:g:Fx8AAOSwl7JmXsXO&itmprp=enc%3AAQAJAAAA4L58ku3Zyb7sH9MysnwIlWELTz%2BT%2BniiRjfOkbLWxOXfh%2FJmQDR8F6Kzo%2FIjuY2hMwLtPrloTpa5GaUryyJ033BLJWKpEhFf3doINEM8szO4cP14lL9%2F9xETZxPoAGkE%2Biu84NGgt07Z87Sx84hzvTN%2Fioaq1sa%2F2wYRMzDn5W9eVbvnt02O7v1EESe9%2B2pM8M8qRe7mBO872UclEvSy%2BxAglLhVfo4hmpaPa66lLIMZyBaIqfR4Srp%2BiDAwYbo%2FE5qchvLpw76v4x45XE5zd9e%2FTng4wU44cEaW7%2BDchK0h%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,from Japan,Pre-Owned,
Canon RF 100-500mm f/4.5-7.1 l is USM Lens Mint+++ Condition.,"$2,450.00",https://www.ebay.com/itm/176379947859?itmmeta=01J06JVTDGBFT3SG010TZH1RC4&hash=item2911106b53:g:usIAAOSwl~lmMns8&itmprp=enc%3AAQAJAAAAwGMe%2BGu%2FojRiLn%2FyXc9zzewQ1zCqNFWp8iMHEHyPu4CRR77ttYcpiBSWqgfeoPYMhEGb%2BzQ6JLAYkSUwdUejGVBbdzyxv7AEw1X8YyYSSVD5LMhbFJq12k2tHRWrsKHO16sw3lwXRTzLNoGSDt8czcRw8nwnLXkVX%2FgEAQta16tcRWdrFUYLFnlKjn5e0U09587Qw5%2BfghHhkXGeRP1KWsAd4ADdsmDktXp0wxVlSzLUX975IMmhoeE2w215Eck64w%3D%3D%7Ctkp%3ABk9SR_ym79KBZA,+$29.95 shipping,,Pre-Owned,
Canon RF100-500mm F4.5-7.1 L IS USM `8378,"$1,950.66",https://www.ebay.com/itm/355468649728?itmmeta=01J06JVTDG1CATK90E0Y8VZ4XK&hash=item52c3952500:g:ZwUAAOSww4Jlzxhf&itmprp=enc%3AAQAJAAAA4FR9oHU%2FVZHaKUzNxoLq0%2B2BgvjvJP6oCgI9ojZYCDHsRCUO8e0%2BYFkvH66hoo9716ldawtk0kQmz--2EjbAKGU%2Bv6w%2BYgDd8lHRLnVzwpq9l%2B7vHHEZqwkprefe%2FKi9l5FC8usyJS0ZYipkcfXFAZHbRNlIUoOF6ZmGtwhJUQM3tboL3jrRgB1dHCBe%2BoD0%2B3kqyTTKVcOK0SOqegMtMVO%2BwAHxZFOeVf%2BouoUHmMlxTDXBR8VK65XrnaiYDHQvpmp5UH0QdXFFQMvZ%2BaDPjuCQeJVvPH1FVqPvPxqQhU0%2B%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,from Japan,Pre-Owned,
Canon RF100-500MM F/4.5-7.1L IS USM LENS - Barely Used,"$2,300.00",https://www.ebay.com/itm/326157385035?itmmeta=01J06JVTDGF5WKJYRK5CZWHP7W&hash=item4bf07ebd4b:g:jQUAAOSwcrJmZkN-&itmprp=enc%3AAQAJAAAAwOGp8Jyc5Q8e4Q1vww6UAktDWAUXOtUUm83R6Aa%2F1zwXJpkjxXXVvEkjgL3f4iYhND5i5MOuMAx%2FhUIRxGzNfp%2BFY7sfbbZvT6BBUKYnK4NQVn5wJ%2BJp0vYG%2BsbIEn%2BEPrTEO3HQLNinFv0%2BLHJaL6Mj8AWKihiOQnsUlEeyTfmMfdAsjv3I6JszvvH98OkC6Yv6G6gzEtLFjUqtAWsrnoPSEMQWgtrA7fMHOAU39YFhXWjo2TNIrV680Z1hOYYaWg%3D%3D%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,,Pre-Owned,
New ListingCanon RF 100-500mm f/4.5-7.1L IS USM Lens Fast Free Shipping Razor Sharp Mint+++,"$2,295.00",https://www.ebay.com/itm/116215680807?epid=10039721902&itmmeta=01J06JVTDGKSC00DD95R4NZV1J&hash=item1b0efe8f27:g:pekAAOSwkxJmaXoZ&itmprp=enc%3AAQAJAAAA4Ok5s6AGRwbGw3jfrxFOgfadG1QsgoCuA%2FL74GJVHRNlHG6Qt5CJJkheydPsWz%2FjPsis%2BSSFE60qoejzmtOLNmxjO%2BXTgPkw9zKYMBo%2FjbwgD9oQ6kJbpwy6dY6UBJZPkosXikFbQcPlhYjkKAGKx2H97rPMvQC8IkJTp6kVUcNQRFATHXa6IoU9Xwh7vVLragCWOaFowGNHnVIXTJQO8NILIL1dFzoSfluKg6m%2BS3iIj5Q9TAUNNBLHrkEmr0ZNIOlBcKcte3S5GvYaWYETX9QLLW6tTxEMtxUE6t44kAc4%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,,Pre-Owned,
Canon RF100-500mm F4.5-7.1 L IS USM `3235,"$1,950.66",https://www.ebay.com/itm/355266577192?itmmeta=01J06JVTDGBEFMZ8X3EZQQ2RW9&hash=item52b789c328:g:I~4AAOSw26tmPcZx&itmprp=enc%3AAQAJAAAAwEx6RhNVf%2BTUN0T%2FLreaHKnoFbvFjMK%2BNUNR2l4hPXPXGUtTRFdG8AoJB5isTYSIujqqA%2Fgfwv9XwDlBKv2sBYw6JAOa3itBQnjPOjBWkahwCV7X9fMOG%2Fw1kluCJIZCAnZ4iMqGAUklexpb%2BmPTdCfA%2FrWPxxCs%2FLIlz1GzmTIL2FCUHYY%2FWfNf1W5yjuAIMdu8RcBB1q%2FE57yoKMW5crqXgAc%2FYHtGMQZJtByc5T2zGBYoM%2BhibpYiuZUGgqdk4Q%3D%3D%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,from Japan,Pre-Owned,
Canon RF100-500mm F4.5-7.1 L IS USM `3065,"$1,950.66",https://www.ebay.com/itm/355370694964?itmmeta=01J06JVTDGB14E7KTJN1K9MHMR&hash=item52bdbe7934:g:qZYAAOSw8SploM-v&itmprp=enc%3AAQAJAAAAwEqfEXJGGZ7kZ0jX8YSI8Q%2BBC5lKq95yWNX0ynLLeaXLiY3Gqy2AIhBLGu0Pqgv7CjVMnnLVLZCnStpID0svH6OBm7P4bk0FwuSxxpw0vlbNq%2BuJTryUHCgxW7vF7L869Be0isQpYVMk7vrMlDinSK2du3%2BnYLkk49wGFp1JyMpix5OyynB3aKSGheD8W8vgbXxRPdDPS1ZzEgtD2Liu5O7goWKjRVeayZQFdPYgjSfUfX1a2E4mK%2FA9niSSijXnrg%3D%3D%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,from Japan,Pre-Owned,
Canon RF 100-500mm f/4.5-7.1L IS USM Super-Telephoto Lens,"$2,324.95",https://www.ebay.com/itm/204543106041?epid=10039721902&itmmeta=01J06JVTDGD68SC8JKYA246S4M&hash=item2f9fb81bf9:g:EloAAOSwxIplVfh7&itmprp=enc%3AAQAJAAAA4CWOADYqgSe9n67q9BQ1ytcnrIikH1xHL0p2m%2FmTMSJXEZZ1k0lZkEt2eRm9KwvAKAv27CxvcpTpVsWgr527%2F7IjsNXjDzlBdJgC6ZbkU1mvj5too6i649xgj1hYkNUS%2F878UvF9aj4BzXhBssUC53hbYi4QF3yWNU%2BZ%2BJ65uNhMOjIzmdBuivEksuu2W4aLZ6wZG%2BOyYW7ZsxlfHLXNUNt%2BNouZNuz3W1w61xNMvKMu4Grxr6hlXnt5gZ3yUjR2oX7jj4uR0f8mEURr8nO4rHhQtyFqc3nGl4ZaagmIr1XA%7Ctkp%3ABFBM_Kbv0oFk,,,Excellent - Refurbished,
Canon RF 100-500mm f/4.5-7.1L IS USM Lens (4112C002) + Filter Kit + More,"$2,439.95",https://www.ebay.com/itm/204510304038?epid=10039721902&itmmeta=01J06JVTDG9GWR3HAXPN5FM3TE&hash=item2f9dc39726:g:J8wAAOSwo71mPPg1&itmprp=enc%3AAQAJAAAA4LEJGf%2FnD3RroHpCWvuJmspuQc0MYNmKfO2o1fYXduLDUGH0VHh5cJeE6qHESFXtD6jpULtu2PtZ0vDhkh%2Bjdfj0nA9H%2F33wazloW6eNKQ7vxJpS302Vnv0%2Bvk6SWQfPgjXY8tbuVgFed1P%2FiBVs9lPzWTB6nWYYWIkdahjHFy8uzJfh1nm7a3ihwHgKzIsgmhLPMwb%2FjzdrP0b%2FzDTv4B88B6wSielk3yETfwWw2R5tdsYvOxCzPQMNSZhv9qh0IXP7FLBGhXK8UrxgQnZXNSA%2FZfuqsFlwhMJaB5NGhpmt%7Ctkp%3ABFBM_Kbv0oFk,,,Brand New,
Canon RF100-500L is U(N) (International Version),"$2,324.95",https://www.ebay.com/itm/196405144228?epid=10039721902&itmmeta=01J06JVTDGJ6F20S982EWGA0SZ&hash=item2dbaa8aaa4:g:MqkAAOSwFYFmTIJy&itmprp=enc%3AAQAJAAAA4AU61Ze1XyERKDT%2FccxXpijFrnsIMPGj0eo%2BiuyKdZUVcllti7SCgnci6EHDQzFUYycGmzyTR%2B49Y1btHt%2F0I%2FLv7zZYxsNfLSny%2Fb36V5ZrUncv%2BcgxjmaBrwlF2%2FM5LPBpLbz4yqZgtWOnL6IK2BUK4SBhkpyqtIVpzINCc2cj0a%2FqABqskdJa6414MtwIPlKRBGvpFqdOfSFN6rnFm5JG2d3In%2FjsDp4DmTifEP0DzdXPHuKK2eNWufFJ33b0p%2BzM65lahjV85Nu03Ukuz97uCOlGgLGnmCQ%2FsBzNkzyr%7Ctkp%3ABFBM_Kbv0oFk,,,Brand New,
canon rf 100-500mm f/4.5-7.1 l is usm lens,"$2,399.99",https://www.ebay.com/itm/126392874612?itmmeta=01J06JVTDGSY08FEPE8HSVY9M8&hash=item1d6d9a3674:g:JvwAAOSwlaRl~3Nt&itmprp=enc%3AAQAJAAAA4P8XynQn1CFD9t8ZLUym8A7J1dvFJYOzJ0vvV%2F9rifVp%2BENlojRL5nASX9gtRyoofeuQbDPt5KcGatE0%2FtJ1QVSLPZukgwTny1pcQezbztH4mPHBaSEzOEteMkTtP2hROs2XrMT9qYg6jL9b%2BAN024pf%2FAH8MZkaYVwKBiPq8lkRqiXtH%2Fe3Wf71BKwuK33Oew3scZe%2FryH%2BVrrjXHWO%2Fp4onR3hUkQwBjYbuMZEFqJdRUsMp0WjhiG9vk0Ue3CJOQgWEYnceZI8tbaOo8Y22YTF8UkhVvuv2Pv61GbKWVyh%7Ctkp%3ABFBM_Kbv0oFk,+$7.74 shipping,,Open Box,
Canon RF 100-500mm f/4.5-7.1 L IS USM Super Telephoto Zoom Lens | All accesories,"$2,500.00",https://www.ebay.com/itm/196432115125?epid=10039721902&itmmeta=01J06JVTDGA86NHD3E57SHW5W5&hash=item2dbc4435b5:g:uGIAAOSwK2lmYzrR&itmprp=enc%3AAQAJAAAA4KA8swnMIcwfx%2BLx0M%2BVglXyywtRz4bgM%2BHmbqVu1etn4A%2FZsXvO3opoDzHTBYkrtdd8wDyFMaDUf5%2FEMWMaKkamLdymlKr09fg8b6SKi0DfNOGT4aW%2BoU0mXhSS0Ydjq6JlQZgQUsVmdHAJ36E9j47Ce9teKjV9AYG%2F5lAqZZp09q1HtEce%2BJxSFBMyqxMyuUxXAy%2FGm8ILKt2qQzsvjDjypHX%2BrDKaX5ShMmblGY41K7JiSsotUcdIFkTAe2zwo%2Fi4ZTWZmM%2FbqPhjfN0vPZfGt0SjkyyI0hchobAfYziV%7Ctkp%3ABk9SR_ym79KBZA,Free shipping,,Pre-Owned,
