Title,Price,URL,Shipping,Location,Condition,Listing Type
Shop on eBay,$20.00,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,,,Brand New,or Best Offer
Shop on eBay,$20.00,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,,,Brand New,or Best Offer
New ListingCanon RF 85mm f/2 MACRO IS STM Camera Lens 4234C002,$474.99,https://www.ebay.com/itm/335437571972?epid=24039715290&itmmeta=01J06RYNZS59S4C57GEKYAPM2H&hash=item4e19a32784:g:5v4AAOSwZZFmadGw&itmprp=enc%3AAQAJAAAA4A9MgH8ZUNCmz44YrSb%2FkWPtqqD0%2B3K%2BwDr0Ad0D7AY1HSA%2BpiHPq6eIlMMPVgnl%2BUHYK7qxeXKszQ5b01%2BYmg1k9IHiJ%2Bt2CTXmEWuE4jkChPFJSn0v6It464JIqbIsjSU67uAD8%2BV0RDssWEyX3R458ank3QilE8xPhU%2Bsj12HPbchAikFcKSzu%2F73rYJkgLzRA7aUIAzlOBAQdelgDtomXzrCZ7yqS78kuUFDy0Aeq0x%2BophMaZBNhlJaxt0EtbhA3s%2FX2AUevaqZYtg9QHUoy3aIzhXRjVwpnsbRd0ev%7Ctkp%3ABFBMlOD62IFk,,,Open Box,
Canon RF 85mm f/1.2L USM Lens - FREE 2-3 BUSINESS DAY SHIPPING - NEW,"$2,199.99",https://www.ebay.com/itm/175711963619?epid=6033196160&itmmeta=01J06RYNZS2WEPMA2ZS25Y635Z&hash=item28e93fc9e3:g:qPIAAOSwVyNkU-~P&itmprp=enc%3AAQAJAAAA4MrvolxdaZzZ1uv1%2FLwTweaR%2FR8b0KB3stdnaSqGcDicMthW3UPwtRMKyiO3bHCDUQp8sKvbeGzUWxzx02uACizZf7ur5D8%2BkoEhl65kSc9wNMH50ICru7vaTa3J3%2B8kGsG40OvBAyZAZb3dFvJ7uxEaJoj8WJIG6TF9fElHA83mKh2crAJ8pB1iGgO95l%2Ba7vfJO6n8DU%2FMTidpSn40cD61QyQnUp6YxV2XGukmQ0zyfavjv0YHdR6XFxW3oNWPVzlmwGAwcI6TtllViLsEqc3dW1jKn8v1prgMB1uooxSI%7Ctkp%3ABFBMlOD62IFk,Free shipping,from Canada,Brand New,
Canon RF 85mm f/2 Macro IS STM Lens,$549.00,https://www.ebay.com/itm/284722770733?epid=24039715290&itmmeta=01J06RYNZSXQXY3Q8WYXHH15SA&hash=item424accb32d:g:nLwAAOSwPfRmSB5q&itmprp=enc%3AAQAJAAAA4AYFwIGpn1G7hjEQgNdu50riBfdoKzXh4ktsy%2Bb37KEz540FE9Er2%2FAc24hG2ZFYjbtsKNFk7bstJLs0Obffg%2BRMttugKlzGLzevuhHGIaUfEsTOVrqgegaVQOcmFjwF6U5ntt31I3tsjGu7SrBGqn4Mo%2F1bd5z2BPdP8wqU%2FMRyjXBVozYeYJEVJq47CmFlj0Nq0pdj0%2FufwAH7xeD8NhxDODChE5shzy7YRnFnrnPgi0cxBSyBkIth%2BXAUQZeFD3YuX%2FxtcVwbwiMpfOdsgm9XvvHNenvYuC6fNXFXvAoo%7Ctkp%3ABFBMlOD62IFk,Free shipping,,Brand New,
Canon RF85mm F2 Macro is (4234C002),$544.95,https://www.ebay.com/itm/326136145797?epid=24039715290&itmmeta=01J06RYNZSYZGRMN4WED12FMFJ&hash=item4bef3aa785:g:oDMAAOSwPQ5mTf9V&itmprp=enc%3AAQAJAAAA4AVE4w45dpkOIddHiMuDqkSVN6RDcZCUoRJ2HlC3gHbVr3fWqaUbHytc3n1Mr6qayP9iSto30i%2BeyAq773ojLrG2CSQJ4dchqMkjjmP99hknZPanGwxCL7Oj7rmHD%2B7QPDbHZV9M5rhKfyCyzQj%2Bk2vZ4qQdOlbtYOh3CMeih4qLwwQoNit9Qc6XrUelpLSYFpZhzRIIqGfLAyIMsGz%2FMzfVtPqW235F%2BB1QqupixTpBCTydk1htSEGfU6bGKH2KyA2mMMTAcjfheA7uNYR6G0e2MjT7PnG7SPYziwayKRip%7Ctkp%3ABFBMlOD62IFk,,,Open Box,
CANON RF 85mm F/1.2 L USM LENS,"$2,095.00",https://www.ebay.com/itm/126523205969?itmmeta=01J06RYNZSAYY0X52ZKBGWYKH5&hash=item1d755ee951:g:MfwAAOSw50pmZz71&itmprp=enc%3AAQAJAAAAwPk2LzLnMRjGLmhT%2FRmLyYfhNjCi%2BSbhyJlxbRuJdVF9LWN6x1bW%2BRdhX74PdZ%2FcpkPGKsAwJ9Tj7NjQ%2BozQae1hT2E%2Bl0mJ77mZyvst77dloHQR%2BnbsA4SpKuc67FoRIuxyj7aAZLwdSxlfkpzrhTlCbdNojl4HK5jgr%2FUhPLfnqFgf3gjnLqRMzpMPHw1CLrcG1G9yaqgTYLlI9LSoDug9XcslA0d7PFlUDz7aeTX8Kv5mfYc7i3S0HFVAIaWR0Q%3D%3D%7Ctkp%3ABk9SR5Tg-tiBZA,Free shipping,,Pre-Owned,
Canon RF 85mm 85 mm f/1.2L f/1.2 L USM Lens (USA model) - Lightly used BEAUTIFUL,"$2,050.00",https://www.ebay.com/itm/116196891673?itmmeta=01J06RYNZSK5GJZNT1DEB9ZRD7&hash=item1b0ddfdc19:g:YQAAAOSw~GJmVM~7&itmprp=enc%3AAQAJAAAA4DpYuXn8FtOFnAS8HuPfSMiOgTNMcPtMfkf8nfH3397wz99r2XegeyNqEk7dBVKwcI15JaF3lfDonr%2FDUbmAbgZIr%2FnRLCGXDzydY%2BEosWLXl2y6V6fbQ9mFRLclgHYutzirBJK5o4otzaLcmQePJ5eJIgipmYmX6Xa%2B1baSeeWJdeY%2FKYVsEwbSGR5KhXqaTGwUg3bbPOdpmYiQ04IuRr2SC0NixoWTWxUCr%2FfgkZd2dJqYcjxN9Jw29yiGeSETHuLvegQTniI%2BxS80UhKXBeP5x0e--r3akCsjnjFlsEXV%7Ctkp%3ABk9SR5Tg-tiBZA,+$12.30 shipping,,Pre-Owned,
Canon RF85mm F1.2 L USM Lens,"$1,950.00",https://www.ebay.com/itm/285810919863?itmmeta=01J06RYNZSZVP1BM23SYFFQ81D&hash=item428ba889b7:g:J-EAAOSwxQJmAd7U&itmprp=enc%3AAQAJAAAAwDhQE%2BIx1ZUIM330rnVxzv%2FroaNd6VY%2Ba7R7ThDoAuNn6YgLEHIQUUwG8S6CvS54ov97nH6wvcw%2FRKQRKrLelaR%2FdgsZWW%2FL8L1UJJc2O4W0OPhqTQ98u6ir2HZho7vIbQN6vbtcYDJ6FHl2Xuo0HSoMUhs%2F3zo%2B1J1KDA%2B9vh3OgGUIHME3vKwcP7dKMdgMV9d3GX%2BjDqj6QmaPYyI5FrBcwsHrlV2ldTxZV8%2BAOLCvuSTGGd1xlR25xyPVVMnOcg%3D%3D%7Ctkp%3ABk9SR5Tg-tiBZA,Free shipping,,Pre-Owned,
Canon RF 85mm 85 mm f/1.2L f/1.2 L USM Lens (USA model) + K&F UV filter - NICE,"$2,099.00",https://www.ebay.com/itm/196410021502?epid=6033196160&itmmeta=01J06RYNZSXX93YJCRN5N832QD&hash=item2dbaf3167e:g:rGYAAOSwhZxmUK3m&itmprp=enc%3AAQAJAAAAwFHCk%2BG%2BjxJX7Wt3XGiNwj5lDvwUX0eB9x%2FelIsP1zT80YKDHjRas6mfoKPcCkDRfaXHNv6cBLmN4iPUt2h0UeTosgWEhg1POGMKpbK4W9wSyhSLGUaf%2FGh2UWdu%2FXO2jEWTDt5IuK%2FSkUruO40EANVRK0I9dZqcnn9JhuesITsv6uf4CClxyrvIiPekl00qykNxHp3VB1waq%2BvQ9s%2FsiWiBieitiqRzMvqbrEqcUdWeiz6DMw42VvLmRfRs7GPvMA%3D%3D%7Ctkp%3ABk9SR5Tg-tiBZA,+$27.95 shipping,,Pre-Owned,
New ListingCanon RF 85mm f/1.2 L USM Zoom Camera Lens,"$1,965.00",https://www.ebay.com/itm/156252936656?epid=6033196160&itmmeta=01J06RYNZS9YSYFDAD1M5DE0S5&hash=item24616699d0:g:-D0AAOSw9sRmVY4l&itmprp=enc%3AAQAJAAAA4C6MHlzWvW%2Fg%2B%2Fcy25LAo%2BP8AYEvvfjdLCdc2vvGxef%2Fl8tbglDwtOnJ9ZTkdv%2FQ3FOZqRyfofwPLVE2m7%2B85VQ3TWlhQhHcq%2BqJsHDFi2EQpxKAicg970phCYJ4K9Ea2yZ10Rcv7L9eWZOkU25kyJ6pGSW%2Fg8tXqcfdggPtI0AGPav7l2enqwkz6zh93merEDeOgzbhaC%2B1Wmw2Sd%2BcJLMb4OOO0lcQi1KzAlFkVvItSiOJxwx4WC9MNJxH2HHkgcLWuHf4hgoZ3GHMSve7bhD6nTmdtqxf8CONf39CKNId%7Ctkp%3ABk9SR5Tg-tiBZA,+$35.00 shipping,,Pre-Owned,
Canon RF 85mm f/1.2L USM DS Lens. Open Box “Pristine”,"$2,495.00",https://www.ebay.com/itm/276491107881?itmmeta=01J06RYNZTHYTD46P3R8EKP6PC&hash=item4060277e29:g:44oAAOSwjZ1mO7g3&itmprp=enc%3AAQAJAAAAwMnjAnOD5iR1hMPPSJ1oLkOuOPj1vapxtNFrviIeX2bmLMrSaz6mQd%2Bm4XahB%2FQvCIa5gTuVsQy4bQjVMVu%2B9FmaKGSODGqn5TB81tNvnQvYmes9U8UhmarUpLe7HcKNdk6DnkPpx4BW7UngLSr8FJE2x9GekDGfJpeDiehW8EWlKywGFzFE7rzydnLFv2f6e31skAEg6eyGbjPIETfZyHvx0FPHvG8aClfMg3vfYFzux4ZZl3xdcQizEnS8hlw3XQ%3D%3D%7Ctkp%3ABk9SR5Tg-tiBZA,+$43.24 shipping,,Open Box,
Canon RF 85mm f/2 Macro IS STM [Near Mint],$499.99,https://www.ebay.com/itm/126524725046?itmmeta=01J06RYNZTR7JD8R5V7JHWJVCA&hash=item1d75761736:g:2QEAAOSwK8hmaGwo&itmprp=enc%3AAQAJAAAA4BIjg34RO2ODb1hI2Xp7bHgugTix%2BcE11wfNubRPi7ra%2BljUiDRCo0hnIn8xNExjCsZ%2BCFOUIWDmklG06rpBa8WpEbsrUcCu2pU5qO5EMueE8BCUX%2BJeBZanBNH7DCy6Ocz4w%2BmMi5EBkX4rkkFnCRTHZZNSZ%2FVYsHQ%2F12gqBs%2FM3%2BmhxTgP2qJlRKM%2Fsi1yM%2Bk2M2MnDOhu7fjUypwLxfmTG7DXfI1Ul1orVgLw%2Bx%2BR%2BVYPYalxeYJjTYcVjAf9q0zSyo%2FHeM0Hj0JEc3vBPBLfLMNAUNyuhT1sRu4W8eLo%7Ctkp%3ABk9SR5bg-tiBZA,+$12.50 shipping,,Pre-Owned,
Canon RF 85mm f/1.2L USM DS Lens,"$2,699.95",https://www.ebay.com/itm/196274185756?epid=22035112968&itmmeta=01J06RYNZT5GX15T09REKM8HTZ&hash=item2db2da661c:g:sOAAAOSw12Vl47M1&itmprp=enc%3AAQAJAAAA4MTgXOxn%2BbRtchyh4U5KN4RZ2ht9DFMZVCak4zI7afMuNnHIWxnRGq5OKduvGOcI2hiKbMh3vb0KspqPS4a5nT5dOMwfJ8wFUfRba%2Fxn4w8xuOZFNZbpPXVp9xTb3DC9duM%2FeqFYBvLGNUjicRde%2BtBIly323sTjsR6n9oaKKYCXHn9VgZdTZTDIoC0IHyXPE7Z6okNYjnrCKtGQJqzYi3VTyjcmwjCmjjCMbldZFCeThwXBSMNtmtLujQ8y0%2F7KGS6NByZLBIq3%2FgBFiu2SZwF5HEdEyTeFLgfVo%2BX9UwUF%7Ctkp%3ABk9SR5bg-tiBZA,,,Brand New,
Canon RF 85/1.2 L USM,"$2,424.95",https://www.ebay.com/itm/325479454611?epid=6033196160&itmmeta=01J06RYNZTRDKMT87GGJN9DKRE&hash=item4bc8165793:g:ItAAAOSw0ARjrIen&itmprp=enc%3AAQAJAAAA4Hh9vIg%2BIRRUeE%2BYZQTpusUJcLqR3gByAVlUCOSaea4be0LIRdyoP8cUfS2IfUD6I%2BjMlal3JwIn79VPKrO%2B7358DrKsUHbBYNBqNrCLeVduFrkCra%2FwTBmkpnouzMqJYUFjg8g%2FmR7viAFIhyxE4y2FLObEA2wX%2FMc%2BNujojy6kPHGVpsEgeCbIiSDD%2FKLGdfiTI%2F4k46BYUZsomxjYL00usRezwO6bzQpKGnMzxlB8vz3PD1jty7SmThSFHLR%2Foy%2FjyrJUmqlfA0zA7nhHDqqczRHhPq%2FQwxFFtd%2BHzd8l%7Ctkp%3ABFBMluD62IFk,,,Brand New,
Canon RF 85mm f2 Macro IS STM Lens #644,$527.54,https://www.ebay.com/itm/204809265755?itmmeta=01J06RYNZT01N1RSZ6TZW025AC&hash=item2faf95625b:g:qmcAAOSw9VBmV23I&itmprp=enc%3AAQAJAAAA4D5kI1%2F74w3KenR0nhEdOarfKW7mQz%2BmbDooP%2BkwP8d2LQ9SL4j0aTi%2F9MJEP6r6arZXjJlOph%2F0lmEWypbqOzonwdjhuujTXLxPtxJPYEmcztH1hb9h8gNA4gh2dFkbGtlHrx%2F1R7MsNIkqTBstthAMJOoRwAXiwNvxokMv4j6tPe9iV3Ow8vAgYR%2B%2FfLLQwGV54lq45HnsbaVoCAmCSUe90%2Fk7ncfqIPGF5eGudJvRHxdBeMT6Yb%2B4mLHEtrjVedH7NAlt%2B3k%2BcjEYvb6rCDMfc4FCm6d3HKrlroqoDu4O%7Ctkp%3ABk9SR5bg-tiBZA,,,Excellent - Refurbished,
New ListingCanon RF 85mm F/1.2L USM -Near Mint- #278,"$2,103.00",https://www.ebay.com/itm/375481253578?itmmeta=01J06RYNZT0Y5PD0X4EJ3G8CD5&hash=item576c6d3eca:g:tMUAAOSwWIJmaT3e&itmprp=enc%3AAQAJAAAAwIVYJsfLM3RrkifF2ixp4Plnvl55bH%2BZ1Po4qEbKQ6b5vZ45o6sfEc56BV9Rry1GzgBMH0Syi1H7Llv1U%2FA1fzOvrkCQ44Wf2pMJMAi8Yj1MVQns7SEo1wWO4yCtUVvN37uAF3ITolwV3Sj7KlG02eaTBdj6XBG8%2FdVmdeyvXtXcBXXCfFfURbW3M1QjK2qVtBYeRGWrGJGWqttUiUCrBwiFSzMVMgyuWOrPEacG%2FcpAbUMGK1uVT0WA4fnKYM8VCw%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,from Japan,Pre-Owned,
"New ListingCanon RF 85mm f2 Macro IS STM lens, caps, Mint, Barely used",$497.95,https://www.ebay.com/itm/235604164774?itmmeta=01J06RYNZTDHXZ0D08XZJFTPSB&hash=item36db1a40a6:g:1YEAAOSwdO5maOpS&itmprp=enc%3AAQAJAAAA4LIgBrAaTFdAmJ310xoPST7p4rCxYIOQi%2FuFYWqAI3A9Z0pi3lHPtczeYXIqSa1TYJOZKtzE2vYR5JBnDAzfn88nhaWPcbVMkDLuFHD9XoJA0a%2F1mXWLLGI0gsmVvk1tWFNnbV7%2BwICBkm9rZac4SX8LBO%2FpIy2PtnptNWQkjOUhQdzuifi%2FaaArMk0i7BF%2FXf8fciSXkDVa1kbJTqQJDaWLe3pkZCN8QwrCk6s5xxG76QZCZNs40QXeuMmkL7u6%2F0nTItLzFJbUfdLx0ud74GdkQhAnnnl5Gdlxv5H%2FxVw%2F%7Ctkp%3ABk9SR5bg-tiBZA,+$14.00 shipping,,Pre-Owned,
Canon RF 85mm f/1.2L USM Lens,"$2,189.99",https://www.ebay.com/itm/196405673472?itmmeta=01J06RYNZTHWSE1WC571QR7NMW&hash=item2dbab0be00:g:qRAAAOSwqilmTOqn&itmprp=enc%3AAQAJAAAAwFrCCcAdFHnuxxDHlApHIAN18PIKU00J1iUzvEOZJ3YeBhXbdDtEv9GnEhy%2FY7d%2B%2B%2FooEoreC2khbPptU%2FiWU0JkC2jZv82hPw2siHyHu6cpq8kNX0poeGTWftq1cIt8x4WpIoOeyITTZsR2kVvlvDvivZFMIm49INndbWMQyxl8MMeCXs0wR%2FBQbzeCDJjpukxCjEziPphVKxr5hF%2Fomlm%2ByMc4XTQFGZ8CzOwGRdRZiPT9w4jzYQmWccaFvQXo9Q%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,Free shipping,,Pre-Owned,
"Mint Canon RF 85mm f1.2 L USM Lens with Hood, Case, & Box #43959","$2,249.00",https://www.ebay.com/itm/116157470523?itmmeta=01J06RYNZTMJBFN9WPEGS7VNB1&hash=item1b0b86573b:g:Lb0AAOSwyWxmKAjT&itmprp=enc%3AAQAJAAAAwM%2F7ltUfI5VYUv5wyGFej8s2MDsi%2BTa2%2BxjjE2K7N4VPdHmCT6y9Fwzlb6D6rlRqnysiWDdcbd60UR9l5NzXApF--7dxHhGYDzCHy%2B4%2FO%2FY8jJvz1QBtnrtUMara%2BfikXANzw29umuXzpLs%2BCTg9c1WZDENrpZaGuCTqpLKkhJUjAHAFADN%2F3vhqTPmFmeqEJlw%2BVZqUxqpwd1Y1%2BxFpxQAoEf3m27TngX0qX1LrUsgT1e%2B41iQ86qRod0%2F3rzOBBw%3D%3D%7Ctkp%3ABk9SR5bg-tiBZA,+$37.00 shipping,,Pre-Owned,
